Architecture,Activation,Optimizer,Sequence_Length,Gradient_Clip,Accuracy,F1_Score,Avg_Epoch_Time(s),Total_Train_Time(s)
Bidirectional LSTM,sigmoid,sgd,50,Yes,0.5005,0.2348,2.07,32.57
Bidirectional LSTM,sigmoid,sgd,100,Yes,0.5,0.6667,2.66,37.95
Bidirectional LSTM,sigmoid,rmsprop,25,No,0.7238,0.7366,2.03,32.89
Bidirectional LSTM,sigmoid,rmsprop,50,No,0.7615,0.7854,1.99,32.56
Bidirectional LSTM,sigmoid,rmsprop,100,No,0.807,0.8229,2.24,33.84
Bidirectional LSTM,sigmoid,rmsprop,25,Yes,0.7191,0.6987,2.23,33.53
Bidirectional LSTM,sigmoid,rmsprop,50,Yes,0.7689,0.7727,2.13,33.19
Bidirectional LSTM,sigmoid,rmsprop,100,Yes,0.8135,0.8223,2.38,34.44
Bidirectional LSTM,relu,adam,25,No,0.7201,0.728,2.01,32.44
Bidirectional LSTM,relu,adam,50,No,0.7728,0.7703,2.14,33.56
Bidirectional LSTM,relu,adam,100,No,0.8163,0.8115,2.19,33.62
Bidirectional LSTM,relu,adam,25,Yes,0.7138,0.7289,2.37,34.36
Bidirectional LSTM,relu,adam,50,Yes,0.7678,0.7741,2.23,33.79
Bidirectional LSTM,relu,adam,100,Yes,0.8157,0.8258,2.41,34.58
Bidirectional LSTM,relu,sgd,25,No,0.5147,0.443,1.97,32.43
Bidirectional LSTM,relu,sgd,50,No,0.5045,0.4789,1.8,31.49
Bidirectional LSTM,relu,sgd,100,No,0.5153,0.4885,2.02,32.99
Bidirectional LSTM,relu,sgd,25,Yes,0.5174,0.549,2.02,32.85
Bidirectional LSTM,relu,sgd,50,Yes,0.5105,0.5448,1.98,32.72
Bidirectional LSTM,relu,sgd,100,Yes,0.509,0.5541,2.43,34.77
Bidirectional LSTM,relu,rmsprop,25,No,0.724,0.7351,1.96,32.51
Bidirectional LSTM,relu,rmsprop,50,No,0.7672,0.7556,1.93,31.56
Bidirectional LSTM,relu,rmsprop,100,No,0.8162,0.8222,2.12,33.71
Bidirectional LSTM,relu,rmsprop,25,Yes,0.7189,0.7185,2.67,36.39
Bidirectional LSTM,relu,rmsprop,50,Yes,0.7668,0.7767,2.73,37.29
Bidirectional LSTM,relu,rmsprop,100,Yes,0.8196,0.8206,2.67,36.92
Bidirectional LSTM,tanh,adam,25,No,0.7186,0.7318,2.16,33.18
